OSEBuildingID,DataYear,BuildingName,BuildingType,TaxParcelIdentificationNumber,Address,City,State,ZipCode,Latitude,Longitude,Neighborhood,CouncilDistrictCode,YearBuilt,NumberofFloors,NumberofBuildings,PropertyGFATotal,PropertyGFABuilding(s),PropertyGFAParking,ENERGYSTARScore,SiteEUIWN(kBtu/sf),SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SourceEUIWN(kBtu/sf),SourceEUI(kBtu/sf),EPAPropertyType,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,Electricity(kWh),SteamUse(kBtu),NaturalGas(therms),ComplianceStatus,ComplianceIssue,Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,GHGEmissionsIntensity
1,2021,MAYFLOWER PARK HOTEL,NonResidential,659000030,405 OLIVE WAY,SEATTLE,WA,98101,47.6122,-122.33799,DOWNTOWN,1,1927,12,1,88434,88434,0,78,73.80000305,73.59999847,6510477,6522024,144.3999939,144.1999969,Hotel,Hotel,88434,NA,,NA,,944955,1798672,14876,Compliant,No Issue,3224187,1487618,241.6,2.7
2,2021,PARAMOUNT HOTEL,NonResidential,659000220,724 PINE ST,SEATTLE,WA,98101,47.61307,-122.33361,DOWNTOWN,1,1996,11,1,103566,88502,15064,96,52.20000076,52.20000076,4617104,4617104,99.09999847,99.09999847,Hotel,Hotel,88502,Parking,15064,NA,,657478,0,23738,Compliant,No Issue,2243315,2373789,135.4,1.5
3,2021,WESTIN HOTEL (Parent Building),NonResidential,659000475,1900 5TH AVE,SEATTLE,WA,98101,47.61367,-122.33822,DOWNTOWN,1,1969,41,3,956110,759392,196718,96,46.5,46.5,43953212,43953212,105.3000031,105.3000031,Hotel,Hotel,945349,Parking,117783,Swimming Pool,0,8673722,10583473,37750,Compliant,No Issue,29594739,3775000,1201.4,1.6
5,2021,HOTEL MAX,NonResidential,659000640,620 STEWART ST,SEATTLE,WA,98101,47.61412,-122.33664,DOWNTOWN,1,1926,10,1,61320,61320,0,76,79.5,79.5,4873753,4873753,136,136,Hotel,Hotel,61320,NA,,NA,,509497,1167770,19676,Compliant,No Issue,1738403,1967580,208.6,3.4
8,2021,WARWICK SEATTLE HOTEL,NonResidential,659000970,401 LENORA ST,SEATTLE,WA,98121,47.61375,-122.34047,DOWNTOWN,1,1980,18,1,175580,113580,62000,90,92.40000153,92,11358936,11409090,161.5,161.1000061,Hotel,Hotel,123445,Parking,68009,Swimming Pool,0,1333597,0,68087,Compliant,No Issue,4550233,6808702,380.4,3.3
9,2021,WEST PRECINCT (SEATTLE POLICE),Nonresidential COS,660000560,810 VIRGINIA ST,SEATTLE,WA,98101,47.61623,-122.33657,DOWNTOWN,1,1999,2,1,97288,60090,37198,,192.8000031,193.6999969,9832419,9786934,430.7000122,433,Police Station,Police Station,50755,Parking,40971,NA,,1951866,0,31727,Compliant,No Issue,6659767,3172654,196.1,3.3
10,2021,CAMLIN WORLDMARK HOTEL,NonResidential,660000825,1619 9TH AVE,SEATTLE,WA,98101,47.6139,-122.33283,DOWNTOWN,1,1926,11,1,83008,83008,0,62,63.20000076,65.09999847,5403454,5250250,117.5,121.9000015,Hotel,Hotel,83008,NA,,NA,,744720,0,28625,Compliant,No Issue,2540985,2862470,162.5,2
11,2021,PARAMOUNT THEATER,NonResidential,660000955,901 PINE ST,SEATTLE,WA,98101,47.61327,-122.33136,DOWNTOWN,1,1926,8,1,102761,102761,0,,71.09999847,70.69999695,7262585,7306940,125.1999969,124.5999985,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,102761,NA,,NA,,758790,4248573,4250,Compliant,No Issue,2588992,425020,385.9,3.8
12,2021,COURTYARD BY MARRIOTT - PIONEER SQ,NonResidential,939000080,612 2ND AVE,SEATTLE,WA,98104,47.60294,-122.33263,DOWNTOWN,7,1904,15,1,163984,163984,0,82,75.30000305,74.90000153,12277663,12347007,139.6000061,139.1999969,Hotel,Hotel,163984,NA,,NA,,1662709,0,66045,Compliant,No Issue,5673163,6604500,374.2,2.3
13,2021,LYON BUILDING,Multifamily MR (5-9),939000105,607 3RD AVE,SEATTLE,WA,98104,47.60284,-122.33184,DOWNTOWN,1,1910,6,1,63712,62216,1496,23,82.59999847,82.5,4631289,4634404,167.6000061,167.5,Multifamily MR (5-9),Multifamily Housing,38407,Office,12139,Medical Office,5586,724208,1413117,7472,Compliant,No Issue,2470997,747176,167.2,2.7
15,2021,HOTEL MONACO,NonResidential,942000145,1101 4TH AVE,SEATTLE,WA,98101,47.60695,-122.33414,DOWNTOWN,1,1969,11,1,153163,133884,19279,45,86.90000153,87.19999695,13497188,13448151,175,175.3000031,Hotel,Hotel,154723,NA,,NA,,2104697,2556263,37597,Compliant,No Issue,7181226,3759700,441.6,3.3
16,2021,W SEATTLE HOTEL,NonResidential,942000165,1112 4TH AVE,SEATTLE,WA,98101,47.60738,-122.33362,DOWNTOWN,1,1998,25,1,333176,272015,61161,81,53.20000076,53.09999847,19576208,19600046,128.1000061,128,Hotel,Hotel,368583,Parking,46195,NA,,4386609,2852299,17568,Compliant,No Issue,14967110,1756800,392,1.4
17,2021,EXECUTIVE HOTEL PACIFIC,NonResidential,942000210,400 SPRING ST,SEATTLE,WA,98104,47.60699,-122.33346,DOWNTOWN,1,1928,9,1,65009,65009,0,67,69.30000305,69.30000305,4503616,4507556,112.9000015,112.6999969,Hotel,Hotel,65009,NA,,NA,,400961,1342543,17930,Compliant,No Issue,1368080,1792994,212.3,3.3
18,2021,CROWNE PLAZA,NonResidential,942000235,1113 6TH AVE,SEATTLE,WA,98101,47.60809,-122.33212,DOWNTOWN,1,1980,33,1,353111,295511,57600,95,47.20000076,47.20000076,13950985,13950985,113,113,Hotel,Hotel,295511,Parking,57600,NA,,3138801,0,32414,Compliant,No Issue,10709589,3241395,216.5,0.7
19,2021,HOTEL VINTAGE PARK,NonResidential,942000265,1100 5TH AVE,SEATTLE,WA,98101,47.60755,-122.33244,DOWNTOWN,1,1922,11,1,92190,66990,25200,56,85.5,86.69999695,5843675,5763304,160.1999969,163,Hotel,Hotel,67390,NA,,NA,,744987,2614080,6877,Compliant,No Issue,2541896,687700,264,3.9
21,2021,SEATTLE CENTRAL LIBRARY,Nonresidential COS,942000275,1000 4TH AVE,SEATTLE,WA,98104,47.60649,-122.33297,DOWNTOWN,1,2004,11,1,412000,355000,57000,,36.40000153,36.59999847,13394116,13333460,99.19999695,99.5,Library,Library,364913,Parking,49000,Data Center,1074,3729145,670274,0,Compliant,No Issue,12723843,0,108.3,0.3
22,2021,DOWNTOWN SEATTLE YMCA,NonResidential,942000350,909 4TH AVE,SEATTLE,WA,98104,47.60546,-122.33279,DOWNTOWN,1,1930,6,1,103911,103911,0,,69.19999695,68.90000153,7162932,7190027,147.6999969,147.3999939,Fitness Center/Health Club/Gym,Fitness Center/Health Club/Gym,61528,Office,32195,Other - Lodging/Residential,10188,1229274,2965422,32,Compliant,No Issue,4194283,3226,263.7,2.5
23,2021,RENAISSANCE MADISON HOTEL,NonResidential,942000430,515 MADISON ST,SEATTLE,WA,98104,47.60681,-122.33078,DOWNTOWN,7,1983,28,1,416281,331281,85000,77,67,67,23332322,23332322,146.8000031,146.8000031,Hotel,Hotel,348329,Parking,85000,NA,,4460230,0,81140,Compliant,No Issue,15218305,8114018,493.9,1.5
